Unnamed: 0,situation,emotion,labels
0,"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",sentimental,"['Calm', 'Distress']"
1, i used to scare for darkness,afraid,"['Fear', 'Anxiety']"
2,I showed a guy how to run a good bead in welding class and he caught on quick.,proud,['Calm']
3,I have always been loyal to my wife.,faithful,['Calm']
4,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,terrified,"['Fear', 'Panic']"
5,I am very happy to have been first over 300 students during this years at my enginering school,joyful,['Calm']
6,I once lost my job and got mad.,angry,"['Aggression', 'Coercion']"
7,"One year during christmas, i did not get a single gift. It was a rough day for me.",sad,"['Distress', 'Helplessness']"
8,"I was at work, and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home",jealous,"['Coercion', 'Distress']"
9,I was home alone. I heard a loud noise come from the kitchen. ,terrified,"['Fear', 'Panic']"
10,I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,grateful,['Calm']
11,I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,sad,"['Distress', 'Helplessness']"
12,I had my entire house boarded up when the hurricane came.,prepared,"['Calm', 'Urgency']"
13,"one time when I was in preschool, I had to write on the board. when I got up, my pants fell down in front of the class, that embarassed me",embarrassed,"['Distress', 'Helplessness']"
14,I am so upset and mad. I cant believe what has happened!,angry,"['Aggression', 'Coercion']"
15,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,afraid,"['Fear', 'Anxiety']"
16,"Last week, I was watching the world cup, and watched croatia win from russia",excited,['Urgency']
17,I have someone always asking me questions about how to use mobile.,annoyed,['Aggression']
18,"I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts, it didn't do a thing to fix the miss.",angry,"['Aggression', 'Coercion']"
19,"A few years ago, my marriage broke up, and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude, it took a while to get used to it.",lonely,"['Distress', 'Helplessness']"
20,I felt proud when I had accomplished a dream that I wanted to do for a long time. ,proud,['Calm']
21,When I spend time with my father outside by the fire when we are camping.,sentimental,"['Calm', 'Distress']"
22,I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,joyful,['Calm']
23,I went to a party and it was real bad. ,ashamed,"['Distress', 'Helplessness']"
