Unnamed: 0,situation,emotion
0,"I remember going to the fireworks with my best friend. There was a lot of people, but it only felt like us in the world.",sentimental
1, i used to scare for darkness,afraid
2,I showed a guy how to run a good bead in welding class and he caught on quick.,proud
3,I have always been loyal to my wife.,faithful
4,A recent job interview that I had made me feel very anxious because I felt like I didn't come prepared.,terrified
5,I am very happy to have been first over 300 students during this years at my enginering school,joyful
6,I once lost my job and got mad.,angry
7,"One year during christmas, i did not get a single gift. It was a rough day for me.",sad
8,"I was at work, and my coworker was called into my bosses office. Then they were allowed to work remotely every monday. this made me jealous because I enjoy working from home",jealous
9,I was home alone. I heard a loud noise come from the kitchen. ,terrified
10,I went to a park and I set on a bench. I didn't notice that my wallet felt. A man came to me from behind giving me back my wallet.,grateful
11,I got recently got three rejection letters for 3 different jobs in a matter of a week and a half. That was a painful experience. ,sad
12,I had my entire house boarded up when the hurricane came.,prepared
13,"one time when I was in preschool, I had to write on the board. when I got up, my pants fell down in front of the class, that embarassed me",embarrassed
14,I am so upset and mad. I cant believe what has happened!,angry
15,Last year a tree fell on my house while my family was at home. The tree broke through the ceiling just a few feet away from my daughter. The experience was terrifying.,afraid
16,"Last week, I was watching the world cup, and watched croatia win from russia",excited
17,I have someone always asking me questions about how to use mobile.,annoyed
18,"I spent all weekend working on my truck to fix a miss in the engine. Despite spending over $200 in parts, it didn't do a thing to fix the miss.",angry
19,"A few years ago, my marriage broke up, and I found myself living alone for the first time in my life. Though I eventually grew accustomed to the solitude, it took a while to get used to it.",lonely
20,I felt proud when I had accomplished a dream that I wanted to do for a long time. ,proud
21,When I spend time with my father outside by the fire when we are camping.,sentimental
22,I was so happy when I moved in to my new home. My girlfriend and I have been saving for awhile and we finally got the keys last month. Now we can finally move on with our life plans.,joyful
23,I went to a party and it was real bad. ,ashamed
24,After learning my husband of only 4 weeks was cheating on me I did the same to him. Not only was it before our marriage but I had found texts of him contacting her for sex after. To make it worse I slept with a close family friend of his.,guilty
25,"when I was younger, my parents picked me up from work with a new car, which really surprised me, I was so excited to have my own car!",surprised
26,I get wistful remembering my high school days.,nostalgic
27,"Last year I placed an article in an academic journal. This was the first time in a while that I had been able to do this, and it made me feel better about myself.",confident
28,I get irritated with a coworker that gets on my nerves all the time by coming and bothering me smelling like smoke and trying to chat itu p,annoyed
29,I broke a statuette offered by grandmother to my sister.,guilty
30,"I ordered for French fries ,bit was served burger,that pissed me off!",furious
31,"There was a situation where I might of hurt my freinds feelings, I ate from my friends fridge and he had no more food left that day. He had to go to bed with no food. Hungry.",guilty
32,"I was just on vacation in Biloxi. While hanging out on the balcony, I dropped some chips and then the balcony was swarmed by seagulls.",terrified
33,"My mom took away my game system, and would not give it back ever again.",furious
34,One of my friend didn't keep this promise he made to me.,disappointed
35,There were times where I was being seduced by a coworker of mine.  I remained committed to my wife and did not cheat.  It was a good decision.,faithful
36,"I look out for all my students, if they are struggling, I take however much time they need to understand.",caring
37,"I felt sad when my dog passed away. It was a pet that I had since I was 3 years old, and was one of the saddest days of my life.",sad
38,"Yesterday, I was really craving Dairy Queen. So, I got in my car and went to grab some Blizzards. When I got there, they were closed. ",disappointed
39,A situation when I felt grateful was when I had a flat tire and my father came to help me with it.  I felt grateful to have family around to be there for me.,grateful
40,Every year on my kids birthday's I think back on when they were born. I remember all the sweet smells and sounds of them as a baby.,sentimental
41,When I was little and I found out that we were going to the amusement park . ,excited
42,My wife and I took a 3 week trip to New Zealand last year.,excited
43,I felt caring when I had to pick up and take care of my ailing cousin. His stomach felt bad and he was vomiting all over the place. I helped clean him up and gave him some medicine to make his stomach go back to normal.,caring
44,"Two years ago, i was admitted in hospital. I was not well. I felt afraid whether i would be alive. But fortunately, i am live",afraid
45,I am so annoyed by my new manager at work. He always lies to us. ,annoyed
46,"Lending my vehicle to a friend, which I never do.",trusting
47,I just went for a shopping spree and bought a $2000 bag,guilty
48,"Had to wait in line forever to check out at walmart , horrible",disgusted
49,I had a co-worker open at my jb and instead of getting anything done she spent the enitre time on the phone. When I got to work I had to do her job and my own. ,furious
50,Recently my manager lied to us. He changed our money and took the bonus away. ,angry
51,"I was in a situation where I missed out on making some money, that caused me not to be happy.",sad
52,We were getting ready to move back to our hometown after nine years away. I could not wait to be back close to family and friends.,anticipating
53,I was reversing the car in the roadside. I had bumped into the car which was parked behind. I had to wait for so long to speak to the car owner,anxious
54,When my partner went out of her way to make my day better. with gifts. ,nostalgic
55,I woke up early today for work. My children were still up watching cartoons!,surprised
56,"Finally got some yard work done , Love the smell of fresh cut grass.",proud
57,"When I realized all the chocolate was gone, after a long day. ",sad
58,"My daughter, who has a fear of water, has learned to swim this summer! She still gets a little nervous, but overall she loves it!",joyful
59,I am concerned about the financial situation of my employer.,afraid
60,My ex girlfriend cheated on me with one of my closest friends. It made me very angry at the both of them.,angry
61,I heard a car outside that sounded like it wrecked yesterday. It sounded  awful.,anxious
62,I was getting in a Taxi and noticed someone had thrown up in the backseat.,disgusted
63,I Felt hopeful when I met my betterhalf for the first time. She gives me hope for my remaining life without saying anything. I feel hopeful after my marriage. ,hopeful
64,I came across an old keychain that my dad gave to me when I was younger. It was cool. ,sentimental
65,"My handyman keeps telling me he's coming by to fix my sink, but then he doesn't show up. Ugh.",furious
66,I was jealous when my co worker kept getting top spot when i knew he was cheating. ,jealous
67,"When i was in High school, I was in the all state band. I was very confident.",confident
68,I am happy to have a good vacation,content
69,"My daughter used the potty for her first time the other day, it was awesome. ",proud
70,The other day my daughter knew to throw away her food when she was done. ,impressed
71,i am angry against a friend that suppose to help me.,furious
72,"I remember getting prepared for my trip to peru, it was crazy! ",prepared
73,I let my friend borrow my debit card the other day. She needed to put gas in her car for work. She brought it right back.,trusting
74,I thought my company was going to have a lay off. it was a tough few weeks.,afraid
75,The other day I was surprised with a big bonus from work. ,surprised
76,I was going to see the new Marvel movie. On the way I got really pumped up.,excited
77,"My neighbors left town and the weeds are so high, I'm afraid snakes might start living over there.",furious
78,Today is my birthday. I can't wait to see who calls me. Or my gifts.,anxious
79,when i moved into my apartment it was full of bugs! ,angry
80,I was disappointed by my manager when he told that I will probably get my promotion next year (not this year),disappointed
81,I get to go out today after work! yay,excited
82,I ripped my pants on bourbon street the other day. Luckily I was wearing a long shirt.,embarrassed
83,I was driving down a road at night and my car died. I sat in a car with not lights for hours.,terrified
84,I cant wait for my house to sell.. its a slow market. ,hopeful
85,I have been in college for four years and am only a sophmore. I am going diuble my work load and finish next fall.,hopeful
86,I am annoyed by a coworker making joke about me.,annoyed
87,My daughter hit her head the other day. she was sad. ,caring
88,My next door neighbors are always arguing in our shared hallway. Now they have a baby and the scream while she cries. It is so annoying.,annoyed
